class_name	true_positives	false_positives	false_negatives	true_negatives	sensitivity	specificity	precision	accuracy	f1_score	roc_auc	pr_auc	class_weight	model_id	model_class	memory_size	epoch	study_name	trial_number	trial_params	performance
Cytoplasm	230	122	69	1257	0.769230769230769	0.911530094271211	0.653409090909091	0.886174016686532	0.706605222734255	0.92440840995244	0.734584664069557	0.561204013377926	AvgPoolFastKAN_c542df6e-240c-47f9-80a7-f2330e9ac0ac	AvgPoolFastKAN	1728.62344360352	7	AvgPoolFastKAN	26	"[[""""reduced_seq_len"""", 30], [""""layer_size_percentage"""", 0.06], [""""num_layers"""", 1], [""""grid_diff"""", 1.5], [""""num_grids"""", 8]]"	0.769343868430401
Endoplasmic_reticulum	63	21	32	1562	0.663157894736842	0.986734049273531	0.75	0.968414779499404	0.70391061452514	0.952628254147688	0.747120762618207	1.76631578947368	AvgPoolFastKAN_c542df6e-240c-47f9-80a7-f2330e9ac0ac	AvgPoolFastKAN	1728.62344360352	7	AvgPoolFastKAN	26	"[[""""reduced_seq_len"""", 30], [""""layer_size_percentage"""", 0.06], [""""num_layers"""", 1], [""""grid_diff"""", 1.5], [""""num_grids"""", 8]]"	0.769343868430401
Extracellular	238	23	5	1412	0.979423868312757	0.98397212543554	0.911877394636015	0.98331346841478	0.944444444444445	0.998345306204385	0.990101787376804	0.690534979423868	AvgPoolFastKAN_c542df6e-240c-47f9-80a7-f2330e9ac0ac	AvgPoolFastKAN	1728.62344360352	7	AvgPoolFastKAN	26	"[[""""reduced_seq_len"""", 30], [""""layer_size_percentage"""", 0.06], [""""num_layers"""", 1], [""""grid_diff"""", 1.5], [""""num_grids"""", 8]]"	0.769343868430401
Golgi_apparatus	23	6	25	1624	0.479166666666667	0.996319018404908	0.793103448275862	0.981525625744934	0.597402597402597	0.939327709611452	0.608992912889296	3.49583333333333	AvgPoolFastKAN_c542df6e-240c-47f9-80a7-f2330e9ac0ac	AvgPoolFastKAN	1728.62344360352	7	AvgPoolFastKAN	26	"[[""""reduced_seq_len"""", 30], [""""layer_size_percentage"""", 0.06], [""""num_layers"""", 1], [""""grid_diff"""", 1.5], [""""num_grids"""", 8]]"	0.769343868430401
Lysosome_Vacuole	18	15	24	1621	0.428571428571429	0.990831295843521	0.545454545454545	0.976758045292014	0.48	0.941087437419956	0.530295651868756	3.99523809523809	AvgPoolFastKAN_c542df6e-240c-47f9-80a7-f2330e9ac0ac	AvgPoolFastKAN	1728.62344360352	7	AvgPoolFastKAN	26	"[[""""reduced_seq_len"""", 30], [""""layer_size_percentage"""", 0.06], [""""num_layers"""", 1], [""""grid_diff"""", 1.5], [""""num_grids"""", 8]]"	0.769343868430401
Mitochondrion	180	19	20	1459	0.9	0.987144790257104	0.904522613065327	0.976758045292014	0.902255639097744	0.991339648173207	0.957701791438045	0.839	AvgPoolFastKAN_c542df6e-240c-47f9-80a7-f2330e9ac0ac	AvgPoolFastKAN	1728.62344360352	7	AvgPoolFastKAN	26	"[[""""reduced_seq_len"""", 30], [""""layer_size_percentage"""", 0.06], [""""num_layers"""", 1], [""""grid_diff"""", 1.5], [""""num_grids"""", 8]]"	0.769343868430401
Nucleus	413	72	63	1130	0.867647058823529	0.940099833610649	0.851546391752577	0.919547079856973	0.85952133194589	0.964626532809463	0.910154200690038	0.352521008403361	AvgPoolFastKAN_c542df6e-240c-47f9-80a7-f2330e9ac0ac	AvgPoolFastKAN	1728.62344360352	7	AvgPoolFastKAN	26	"[[""""reduced_seq_len"""", 30], [""""layer_size_percentage"""", 0.06], [""""num_layers"""", 1], [""""grid_diff"""", 1.5], [""""num_grids"""", 8]]"	0.769343868430401
Peroxisome	12	2	11	1653	0.521739130434783	0.998791540785498	0.857142857142857	0.992252681764005	0.648648648648649	0.94223039537633	0.625309088641858	7.29565217391304	AvgPoolFastKAN_c542df6e-240c-47f9-80a7-f2330e9ac0ac	AvgPoolFastKAN	1728.62344360352	7	AvgPoolFastKAN	26	"[[""""reduced_seq_len"""", 30], [""""layer_size_percentage"""", 0.06], [""""num_layers"""", 1], [""""grid_diff"""", 1.5], [""""num_grids"""", 8]]"	0.769343868430401
Plastid	81	5	10	1582	0.89010989010989	0.996849401386263	0.941860465116279	0.991060786650775	0.915254237288136	0.985888087967483	0.940335759393196	1.84395604395604	AvgPoolFastKAN_c542df6e-240c-47f9-80a7-f2330e9ac0ac	AvgPoolFastKAN	1728.62344360352	7	AvgPoolFastKAN	26	"[[""""reduced_seq_len"""", 30], [""""layer_size_percentage"""", 0.06], [""""num_layers"""", 1], [""""grid_diff"""", 1.5], [""""num_grids"""", 8]]"	0.769343868430401
Average	1377	301	301	-1	0.723817714166927	0.991263844888219	0.76564180689471	0.723817714166928	0.722401256401632	0.950931868986401	0.685420945639661	NA	AvgPoolFastKAN_c542df6e-240c-47f9-80a7-f2330e9ac0ac	AvgPoolFastKAN	1728.62344360352	7	AvgPoolFastKAN	26	"[[""""reduced_seq_len"""", 30], [""""layer_size_percentage"""", 0.06], [""""num_layers"""", 1], [""""grid_diff"""", 1.5], [""""num_grids"""", 8]]"	0.769343868430401
Cell_membrane	132	35	29	1482	0.819875776397516	0.976928147659855	0.790419161676647	0.961859356376639	0.804878048780488	0.943378767344833	0.848211646137291	1.04223602484472	AvgPoolMLP_7e245f0c-2fa1-4ae9-a29a-e7014013a885	AvgPoolMLP	527.489723205566	18	AvgPoolMLP	12	"[[""""reduced_seq_len"""", 20], [""""layer_size_percentage"""", 0.3], [""""num_layers"""", 5]]"	0.755913288801977
Cytoplasm	213	113	86	1266	0.712374581939799	0.918056562726614	0.653374233128834	0.881406436233611	0.6816	0.917227111886128	0.704037103119762	0.561204013377926	AvgPoolMLP_7e245f0c-2fa1-4ae9-a29a-e7014013a885	AvgPoolMLP	527.489723205566	18	AvgPoolMLP	12	"[[""""reduced_seq_len"""", 20], [""""layer_size_percentage"""", 0.3], [""""num_layers"""", 5]]"	0.755913288801977
Endoplasmic_reticulum	69	43	26	1540	0.726315789473684	0.972836386607707	0.616071428571429	0.958879618593564	0.666666666666667	0.942111912757256	0.65902691527325	1.76631578947368	AvgPoolMLP_7e245f0c-2fa1-4ae9-a29a-e7014013a885	AvgPoolMLP	527.489723205566	18	AvgPoolMLP	12	"[[""""reduced_seq_len"""", 20], [""""layer_size_percentage"""", 0.3], [""""num_layers"""", 5]]"	0.755913288801977
Extracellular	232	5	11	1430	0.954732510288066	0.996515679442509	0.978902953586498	0.99046483909416	0.966666666666667	0.995240962991641	0.983377195891971	0.690534979423868	AvgPoolMLP_7e245f0c-2fa1-4ae9-a29a-e7014013a885	AvgPoolMLP	527.489723205566	18	AvgPoolMLP	12	"[[""""reduced_seq_len"""", 20], [""""layer_size_percentage"""", 0.3], [""""num_layers"""", 5]]"	0.755913288801977
Golgi_apparatus	21	9	27	1621	0.4375	0.994478527607362	0.7	0.978545887961859	0.538461538461538	0.852390081799591	0.518787662108675	3.49583333333333	AvgPoolMLP_7e245f0c-2fa1-4ae9-a29a-e7014013a885	AvgPoolMLP	527.489723205566	18	AvgPoolMLP	12	"[[""""reduced_seq_len"""", 20], [""""layer_size_percentage"""", 0.3], [""""num_layers"""", 5]]"	0.755913288801977
Lysosome_Vacuole	18	11	24	1625	0.428571428571429	0.993276283618582	0.620689655172414	0.979141835518474	0.507042253521127	0.946806962393759	0.555986245272556	3.99523809523809	AvgPoolMLP_7e245f0c-2fa1-4ae9-a29a-e7014013a885	AvgPoolMLP	527.489723205566	18	AvgPoolMLP	12	"[[""""reduced_seq_len"""", 20], [""""layer_size_percentage"""", 0.3], [""""num_layers"""", 5]]"	0.755913288801977
Mitochondrion	176	25	24	1453	0.88	0.983085250338295	0.875621890547264	0.970798569725864	0.877805486284289	0.978315290933694	0.932137105348998	0.839	AvgPoolMLP_7e245f0c-2fa1-4ae9-a29a-e7014013a885	AvgPoolMLP	527.489723205566	18	AvgPoolMLP	12	"[[""""reduced_seq_len"""", 20], [""""layer_size_percentage"""", 0.3], [""""num_layers"""", 5]]"	0.755913288801977
Nucleus	409	72	67	1130	0.859243697478992	0.940099833610649	0.85031185031185	0.917163289630513	0.854754440961337	0.964309309414281	0.914287336652601	0.352521008403361	AvgPoolMLP_7e245f0c-2fa1-4ae9-a29a-e7014013a885	AvgPoolMLP	527.489723205566	18	AvgPoolMLP	12	"[[""""reduced_seq_len"""", 20], [""""layer_size_percentage"""", 0.3], [""""num_layers"""", 5]]"	0.755913288801977
Peroxisome	12	3	11	1652	0.521739130434783	0.998187311178248	0.8	0.99165673420739	0.631578947368421	0.911440956259031	0.586664071986665	7.29565217391304	AvgPoolMLP_7e245f0c-2fa1-4ae9-a29a-e7014013a885	AvgPoolMLP	527.489723205566	18	AvgPoolMLP	12	"[[""""reduced_seq_len"""", 20], [""""layer_size_percentage"""", 0.3], [""""num_layers"""", 5]]"	0.755913288801977
Plastid	76	4	15	1583	0.835164835164835	0.997479521109011	0.95	0.988676996424315	0.888888888888889	0.976429367733716	0.92278411836961	1.84395604395604	AvgPoolMLP_7e245f0c-2fa1-4ae9-a29a-e7014013a885	AvgPoolMLP	527.489723205566	18	AvgPoolMLP	12	"[[""""reduced_seq_len"""", 20], [""""layer_size_percentage"""", 0.3], [""""num_layers"""", 5]]"	0.755913288801977
Average	1358	320	320	-1	0.71755177497491	0.989957094104301	0.755611243290753	0.71755177497491	0.715820577189808	0.924146069291992	0.650894013790755	NA	AvgPoolMLP_7e245f0c-2fa1-4ae9-a29a-e7014013a885	AvgPoolMLP	527.489723205566	18	AvgPoolMLP	12	"[[""""reduced_seq_len"""", 20], [""""layer_size_percentage"""", 0.3], [""""num_layers"""", 5]]"	0.755913288801977
Cell_membrane	127	32	34	1485	0.788819875776398	0.978905735003296	0.79874213836478	0.960667461263409	0.79375	0.96165609633266	0.877403330669266	1.04223602484472	AvgPoolMLP_89cf8b94-ee9a-4a13-bea8-fdc7eab61dae	AvgPoolMLP	1185.99322891235	4	AvgPoolMLP	13	"[[""""reduced_seq_len"""", 30], [""""layer_size_percentage"""", 0.3], [""""num_layers"""", 3]]"	0.77163733169121
Cytoplasm	209	94	90	1285	0.698996655518395	0.93183466279913	0.68976897689769	0.890345649582837	0.694352159468439	0.929125608445847	0.729713453843986	0.561204013377926	AvgPoolMLP_89cf8b94-ee9a-4a13-bea8-fdc7eab61dae	AvgPoolMLP	1185.99322891235	4	AvgPoolMLP	13	"[[""""reduced_seq_len"""", 30], [""""layer_size_percentage"""", 0.3], [""""num_layers"""", 3]]"	0.77163733169121
Endoplasmic_reticulum	66	34	29	1549	0.694736842105263	0.978521794061908	0.66	0.962455303933254	0.676923076923077	0.944409349336703	0.7199886826611	1.76631578947368	AvgPoolMLP_89cf8b94-ee9a-4a13-bea8-fdc7eab61dae	AvgPoolMLP	1185.99322891235	4	AvgPoolMLP	13	"[[""""reduced_seq_len"""", 30], [""""layer_size_percentage"""", 0.3], [""""num_layers"""", 3]]"	0.77163733169121
Extracellular	233	9	10	1426	0.958847736625514	0.993728222996516	0.962809917355372	0.988676996424315	0.960824742268041	0.99537718128504	0.985650071865736	0.690534979423868	AvgPoolMLP_89cf8b94-ee9a-4a13-bea8-fdc7eab61dae	AvgPoolMLP	1185.99322891235	4	AvgPoolMLP	13	"[[""""reduced_seq_len"""", 30], [""""layer_size_percentage"""", 0.3], [""""num_layers"""", 3]]"	0.77163733169121
Golgi_apparatus	21	5	27	1625	0.4375	0.996932515337423	0.807692307692308	0.980929678188319	0.567567567567568	0.936170756646217	0.604553389012349	3.49583333333333	AvgPoolMLP_89cf8b94-ee9a-4a13-bea8-fdc7eab61dae	AvgPoolMLP	1185.99322891235	4	AvgPoolMLP	13	"[[""""reduced_seq_len"""", 30], [""""layer_size_percentage"""", 0.3], [""""num_layers"""", 3]]"	0.77163733169121
Lysosome_Vacuole	21	15	21	1621	0.5	0.990831295843521	0.583333333333333	0.978545887961859	0.538461538461538	0.941174758411922	0.534747727310119	3.99523809523809	AvgPoolMLP_89cf8b94-ee9a-4a13-bea8-fdc7eab61dae	AvgPoolMLP	1185.99322891235	4	AvgPoolMLP	13	"[[""""reduced_seq_len"""", 30], [""""layer_size_percentage"""", 0.3], [""""num_layers"""", 3]]"	0.77163733169121
Mitochondrion	178	25	22	1453	0.89	0.983085250338295	0.876847290640394	0.971990464839094	0.883374689826303	0.985903247631935	0.940260118534762	0.839	AvgPoolMLP_89cf8b94-ee9a-4a13-bea8-fdc7eab61dae	AvgPoolMLP	1185.99322891235	4	AvgPoolMLP	13	"[[""""reduced_seq_len"""", 30], [""""layer_size_percentage"""", 0.3], [""""num_layers"""", 3]]"	0.77163733169121
Nucleus	425	79	51	1123	0.892857142857143	0.934276206322795	0.843253968253968	0.922526817640048	0.86734693877551	0.970897593646444	0.922910071835529	0.352521008403361	AvgPoolMLP_89cf8b94-ee9a-4a13-bea8-fdc7eab61dae	AvgPoolMLP	1185.99322891235	4	AvgPoolMLP	13	"[[""""reduced_seq_len"""", 30], [""""layer_size_percentage"""", 0.3], [""""num_layers"""", 3]]"	0.77163733169121
Peroxisome	13	7	10	1648	0.565217391304348	0.995770392749245	0.65	0.989868891537545	0.604651162790698	0.919453566268225	0.663962498137053	7.29565217391304	AvgPoolMLP_89cf8b94-ee9a-4a13-bea8-fdc7eab61dae	AvgPoolMLP	1185.99322891235	4	AvgPoolMLP	13	"[[""""reduced_seq_len"""", 30], [""""layer_size_percentage"""", 0.3], [""""num_layers"""", 3]]"	0.77163733169121
