model_id	memory_size	epoch	trial_params	accuracy	f1_score	sensitivity	specificity	precision	roc_auc	pr_auc
LinearMLP_e577b742-9df1-4823-b6af-5876f0f5f951	527.567848205566	8	[[""""reduced_seq_len"""", 20], [""""layer_size_percentage"""", 0.3], [""""num_layers"""", 5]]	0.732880489466003	0.73025169731654	0.732880489466003	0.988001193250927	0.75893774114209	0.930462851844603	0.674373355406846
LinearMLP_aeee3c35-af84-43ae-8888-1d04e20fc721	250.166053771973	10	[[""""reduced_seq_len"""", 10], [""""layer_size_percentage"""", 0.5], [""""num_layers"""", 2]]	0.729744014129216	0.727664354877287	0.729744014129216	0.989038938647304	0.75856103243001	0.946720122960745	0.696127802617505
LinearMLP_9b31668f-9e4d-4f52-aeee-035efcfc60a9	1920.67191314697	7	[[""""reduced_seq_len"""", 40], [""""layer_size_percentage"""", 0.3], [""""num_layers"""", 1]]	0.728565679399252	0.72372215967373	0.728565679399252	0.99130539431907	0.764278253961727	0.968454207644991	0.726314627398549
LinearMLP_b02db475-3479-41b1-a2f6-92b982ee01c1	640.421913146973	13	[[""""reduced_seq_len"""", 20], [""""layer_size_percentage"""", 0.4], [""""num_layers"""", 1]]	0.722308453780003	0.71517031857406	0.722308453780003	0.990162287331603	0.759420154735608	0.956944361640033	0.693597032052369
LinearMLP_689fac31-d41e-4d0f-bdce-e42bb20770f3	761.513458251953	13	[[""""reduced_seq_len"""", 20], [""""layer_size_percentage"""", 0.4], [""""num_layers"""", 4]]	0.720306290837423	0.713671929696318	0.720306290837422	0.988660425861699	0.746352876462569	0.939526258010034	0.64701152580104
LinearMLP_03fa8de2-7b45-427a-bc8d-70c3bcf1bbb4	1713.36971664429	15	[[""""reduced_seq_len"""", 30], [""""layer_size_percentage"""", 0.4], [""""num_layers"""", 4]]	0.695735284234978	0.691976101612627	0.695735284234977	0.987145865370419	0.720653241592398	0.929390159846012	0.636343060721219
