model_id	memory_size	epoch	trial_params	accuracy	f1_score	sensitivity	specificity	precision	roc_auc	pr_auc
PositionalFastKAN_f08870ff-a8e3-4fc6-9abb-6f9ac468183d	168.146942138672	7	[[""""reduced_seq_len"""", 10], [""""reduced_channels"""", 768], [""""layer_size_percentage"""", 0.1], [""""num_layers"""", 2], [""""grid_diff"""", 2.0], [""""num_grids"""", 5]]	0.76616686177558	0.765081226310188	0.76616686177558	0.992815175885748	0.802261817763734	0.941444143121399	0.739004770813645
PositionalFastKAN_fcb7fd89-8977-4c93-8666-758a6e7d9dc5	130.9873046875	10	[[""""reduced_seq_len"""", 10], [""""reduced_channels"""", 576], [""""layer_size_percentage"""", 0.13999999999999999], [""""num_layers"""", 1], [""""grid_diff"""", 2.0], [""""num_grids"""", 6]]	0.76416107539806	0.761922285349945	0.764161075398059	0.993411616853566	0.803162013260198	0.951514168387038	0.776447551649891
PositionalFastKAN_30cad186-38e3-4832-a848-1ec26a28a60d	237.781635284424	9	[[""""reduced_seq_len"""", 10], [""""reduced_channels"""", 960], [""""layer_size_percentage"""", 0.08], [""""num_layers"""", 2], [""""grid_diff"""", 1.5], [""""num_grids"""", 6]]	0.763534550967386	0.763020456761184	0.763534550967385	0.992966370068498	0.813522811007751	0.944598075351974	0.748335324543178
PositionalFastKAN_4476a95f-ca9a-47e5-9444-c9b3965a14ce	473.128799438477	16	[[""""reduced_seq_len"""", 10], [""""reduced_channels"""", 960], [""""layer_size_percentage"""", 0.16], [""""num_layers"""", 3], [""""grid_diff"""", 1.0], [""""num_grids"""", 8]]	0.761067368034572	0.75979706402167	0.761067368034572	0.991897930654188	0.793343535614558	0.928970962823904	0.730332063004453
PositionalFastKAN_ada616ab-d608-48e6-9c01-677391db5c09	438.11205291748	9	[[""""reduced_seq_len"""", 20], [""""reduced_channels"""", 576], [""""layer_size_percentage"""", 0.12000000000000001], [""""num_layers"""", 2], [""""grid_diff"""", 2.0], [""""num_grids"""", 6]]	0.757260444196498	0.753593531511127	0.757260444196498	0.992538649095378	0.798518275085687	0.937427358230468	0.746018925714202
PositionalFastKAN_744a533e-84fd-40d1-94e5-69f886f4f8ad	1837.69091796875	15	[[""""reduced_seq_len"""", 40], [""""reduced_channels"""", 384], [""""layer_size_percentage"""", 0.24], [""""num_layers"""", 3], [""""grid_diff"""", 3.0], [""""num_grids"""", 8]]	0.745667433783391	0.742417248477457	0.745667433783391	0.991860910292778	0.787699038369317	0.935170505172121	0.734409057330516
PositionalFastKAN_316085e9-e013-4f05-a85f-011d92e3af4a	1812.02716827393	16	[[""""reduced_seq_len"""", 40], [""""reduced_channels"""", 960], [""""layer_size_percentage"""", 0.04], [""""num_layers"""", 1], [""""grid_diff"""", 1.0], [""""num_grids"""", 5]]	0.745603803184474	0.741284740869211	0.745603803184474	0.99256006668238	0.787058023951336	0.950274004029833	0.726232843342613
PositionalFastKAN_57752382-2c09-4591-831f-099992614c80	887.862785339355	7	[[""""reduced_seq_len"""", 30], [""""reduced_channels"""", 448], [""""layer_size_percentage"""", 0.16], [""""num_layers"""", 1], [""""grid_diff"""", 1.5], [""""num_grids"""", 5]]	0.732701485196598	0.72705440697548	0.732701485196598	0.993213209180117	0.783481861879656	0.951092453896451	0.731217101700398
PositionalFastKAN_a4476a6e-50ee-4de5-97ea-e64909d64450	236.151035308838	19	[[""""reduced_seq_len"""", 20], [""""reduced_channels"""", 320], [""""layer_size_percentage"""", 0.18], [""""num_layers"""", 2], [""""grid_diff"""", 1.0], [""""num_grids"""", 6]]	0.732514903357689	0.726055395324553	0.732514903357689	0.990409830378358	0.760057182683869	0.940238786554786	0.696252498794885
